Alex Ovechkin;RW;87;9.538
John Tavares;C;94;5.5
Sidney Crosby;C;99;8.7
Jamie Benn;LW;87;5.25
Tyler Seguin;C;90;5.75
Claude Giroux;C;81;8.275
Vladimir Tarasenko;RW;78;7.5
Ryan Johansen;C;78;4
Steven Stamkos;C;72;7.5
Phil Kessel;RW;79;8
Rick Nash;LW;72;7.8
Patrick Kane;RW;76;10.5
Evgeni Malkin;C;70;9.5
Erik Karlsson;D;62;6.5
Joe Pavelski;C;67;6
Jakub Voracek;RW;73;4.25
Corey Perry;RW;70;8.625
Ryan Getzlaf;C;67;8.25
Tyler Johnson;C;71;3.333
Dustin Byfuglien;D;50;5.2
Nikita Kucherov;RW;68;0.894
Nicklas Backstrom;C;72;6.7
P.K. Subban;D;55;9
Johnny Gaudreau;LW;75;1.85
Henrik Zetterberg;C;68;6.083
Logan Couture;C;74;6
Gabriel Landeskog;LW;66;5.571
Mark Stone;RW;73;3.5
Zach Parise;LW;63;7.538
Daniel Sedin;LW;74;7
Jiri Hudler;RW;81;4
Nathan MacKinnon;C;63;3.775
T.J. Oshie;RW;64;4.175
Brent Burns;D;59;5.76
Anze Kopitar;C;71;6.8
Connor McDavid;C;73;3.775
Max Pacioretty;LW;58;4.5
Jason Spezza;C;66;7.5
Matt Duchene;C;70;6
Henrik Sedin;C;74;7
Marian Hossa;RW;61;5.275
Ondrej Palat;LW;67;3.333
Jonathan Toews;C;64;10.5
David Backes;C;49;4.5
Scott Hartnell;LW;54;4.75
Jordan Eberle;RW;70;6
Chris Kreider;LW;48;2.475
Patrick Sharp;LW;61;5.9
Kyle Turris;C;70;3.5
Jaden Schwartz;LW;62;2.35
Ryan O'Reilly;RW;65;6
Patrice Bergeron;C;58;6.875
Blake Wheeler;RW;62;5.6
Kyle Okposo;RW;62;2.8
Taylor Hall;LW;71;6
Joe Thornton;C;69;6.75
Derick Brassard;C;57;5
Filip Forsberg;C;59;1.461
Alexander Steen;LW;61;5.8
Wayne Simmonds;LW;53;3.975
Ryan Nugent-Hopkins;C;65;6
Bobby Ryan;RW;63;7.25
